fecha,mes_venta,nombre_del_vendedor,nombre_del_supermercado,representante_de_compras,estado,ciudad,categoria,producto,presentacion,precio_unitario_usd,cantidad_comprada,valor_total_usd,forma_pago,tipo_producto
2024-06-19,2024-06,Jackson George,The Grocery Store,McBride Evelyn,Massachusetts,Lowell,Otros,Cuajada,Envase 250g,2.2,717,1577.4,PayPal,Cuajada
2024-09-03,2024-09,Davis Olivia,Pekos Foods,Dubbois Frank,Massachusetts,Boston,Quesos,Queso edam,Bloque 300g,4.75,647,3073.25,PayPal,Queso edam
2024-01-20,2024-01,Williams Chloe,Sky Blue Market,Taylor Jacob,Massachusetts,Springfield,Yogur,Yogur griego,Individual,1.5,369,553.5,Efectivo,Yogur griego
2024-05-25,2024-05,Anderson James,The Little Bee,Hunter Mark,Texas,Houston,Otros,Cuajada,Envase 250g,2.2,264,580.8,Transferencia bancaria,Cuajada
2024-11-25,2024-11,Williams Chloe,Culinary Treasures,Koch Emma,Massachusetts,Lowell,Cremas,Crema batida,Spray 250ml,3.75,659,2471.25,Efectivo,Crema batida
2024-05-17,2024-05,Zeller Sophie,Super Saber,Lee Lucas,Nueva York,New York City,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,674,3875.5,Tarjeta de débito,Mantequilla clarificada (ghee)
2024-02-13,2024-02,Zeller Sophie,Exquisite Foods Market,Rogers Harper,Texas,Houston,Cremas,Crema agria,Tarrina 200g,2.5,547,1367.5,Transferencia bancaria,Crema agria
2024-05-18,2024-05,Smith Noah,The House of Flavor,McAllister Alexander,Florida,Orlando,Quesos,Queso gruyere,Bloque 300g,5.5,518,2849.0,Tarjeta de débito,Queso gruyere
2024-09-25,2024-09,Davis Olivia,The Food Barn,Tremblay Ana,California,San Diego,Leche,Leche evaporada,Lata 354ml,2.3,987,2270.1,PayPal,Leche evaporada
2024-03-12,2024-03,Zeller Sophie,Food Emporium,Iacoca William,Texas,Austin,Cremas,Queso crema,Tarrina 250g,2.8,179,501.2,PayPal,Queso crema
2024-05-24,2024-05,Zeller Sophie,The Little Bee,Hunter Mark,Nueva York,Rochester,Yogur,Yogur con frutas,Individual,1.2,505,606.0,Tarjeta de débito,Yogur con frutas
2024-01-14,2024-01,Anderson James,Pekos Foods,Dubbois Frank,Massachusetts,Worcester,Otros,Dulce de leche,Frasco 250g,3.0,187,561.0,Efectivo,Dulce de leche
2024-09-22,2024-09,Davis Olivia,Culinary Treasures,Koch Emma,Massachusetts,Worcester,Yogur,Yogur con frutas,Individual,1.2,313,375.6,Tarjeta de débito,Yogur con frutas
2024-08-14,2024-08,Anderson James,Food Emporium,Iacoca William,Nueva York,Rochester,Otros,Cuajada,Envase 250g,2.2,950,2090.0,PayPal,Cuajada
2024-08-14,2024-08,Smith Noah,Food Emporium,Iacoca William,Texas,Houston,Quesos,Queso azul gorgonzola,Cuña 150g,6.0,842,5052.0,PayPal,Queso azul gorgonzola
2024-08-29,2024-08,Williams Chloe,The Family Grocer,Brown Margaret,Nueva York,Rochester,Mantequilla,Mantequilla sin sal,Paquete 454g,4.2,387,1625.4,Tarjeta de débito,Mantequilla sin sal
2024-11-25,2024-11,Williams Chloe,Corner Delicatessen,Clark Eleonor,Texas,San Antonio,Otros,Suero de leche,Botella 1L,2.0,520,1040.0,Efectivo,Suero de leche
2024-09-25,2024-09,Anderson James,Red Rose,Martinez Patricia,Nueva York,Buffalo,Quesos,Queso azul gorgonzola,Cuña 150g,6.0,850,5100.0,Transferencia bancaria,Queso azul gorgonzola
2024-10-15,2024-10,Zeller Sophie,Super Saber,Lee Lucas,Nueva York,Yonkers,Quesos,Queso en lonchas,Paquete 200g,3.8,247,938.6,PayPal,Queso en lonchas
2024-11-14,2024-11,Davis Olivia,Food Emporium,Iacoca William,Florida,Miami,Quesos,Queso ricota,Envase 250g,4.0,496,1984.0,Tarjeta de débito,Queso ricota
2024-10-16,2024-10,Lee Charlotte,Red Rose,Martinez Patricia,Nueva York,Buffalo,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,41,164.0,PayPal,Mantequilla con sal
2024-10-30,2024-10,Anderson James,The Family Grocer,Brown Margaret,Massachusetts,Boston,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,932,3728.0,Tarjeta de crédito,Mantequilla con sal
2024-06-10,2024-06,Jackson George,The House of Flavor,McAllister Alexander,California,San Diego,Yogur,Yogur con frutas,Individual,1.2,855,1026.0,Tarjeta de crédito,Yogur con frutas
2024-01-06,2024-01,Anderson James,Super Everything,Fraser Michael,Florida,Jacksonville,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,840,4830.0,Transferencia bancaria,Mantequilla clarificada (ghee)
2024-09-15,2024-09,Anderson James,Corner Delicatessen,Clark Eleonor,Texas,Houston,Yogur,Yogur con frutas,Individual,1.2,504,604.8,Tarjeta de débito,Yogur con frutas
2024-08-06,2024-08,Davis Olivia,Culinary Treasures,Koch Emma,Nueva York,Rochester,Yogur,Kumis,Botella 1L,2.5,411,1027.5,PayPal,Kumis
2024-07-19,2024-07,Zeller Sophie,Culinary Treasures,Koch Emma,Massachusetts,Worcester,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,795,3180.0,PayPal,Mantequilla con sal
2024-06-10,2024-06,Davis Olivia,Food Emporium,Iacoca William,Nueva York,New York City,Otros,Dulce de leche,Frasco 250g,3.0,247,741.0,Tarjeta de crédito,Dulce de leche
2024-10-18,2024-10,Lee Charlotte,My Market,Johnson Alice,Massachusetts,Springfield,Cremas,Crema batida,Spray 250ml,3.75,877,3288.75,Transferencia bancaria,Crema batida
2024-05-11,2024-05,Davis Olivia,The Little Bee,Hunter Mark,Nueva York,Yonkers,Quesos,Queso blanco,Bloque 500g,5.0,751,3755.0,Tarjeta de crédito,Queso blanco
2024-11-09,2024-11,Jackson George,My Market,Johnson Alice,California,Los Angeles,Quesos,Queso havarti,Bloque 200g,5.25,762,4000.5,Transferencia bancaria,Queso havarti
2024-07-25,2024-07,Davis Olivia,Central Supermarket,Smith Patricia,Texas,Austin,Leche,Leche semidescremada,Litro,1.2,612,734.4,Tarjeta de crédito,Leche semidescremada
2024-06-26,2024-06,Lee Charlotte,The Food Barn,Tremblay Ana,Florida,Miami,Yogur,Yogur natural,Familiar 1L,3.5,735,2572.5,Tarjeta de débito,Yogur natural
2024-09-14,2024-09,Lee Charlotte,Super Everything,Fraser Michael,Florida,Orlando,Yogur,Yogur con frutas,Individual,1.2,451,541.2,Transferencia bancaria,Yogur con frutas
2024-09-20,2024-09,Williams Chloe,The House of Flavor,McAllister Alexander,Nueva York,Yonkers,Leche,Leche deslactosada,Litro,1.3,186,241.8,Tarjeta de débito,Leche deslactosada
2024-04-13,2024-04,Smith Noah,Corner Delicatessen,Clark Eleonor,Nueva York,New York City,Leche,Leche evaporada,Lata 354ml,2.3,437,1005.1,Transferencia bancaria,Leche evaporada
2024-11-29,2024-11,Jackson George,Super Saber,Lee Lucas,Massachusetts,Boston,Quesos,Queso edam,Bloque 300g,4.75,172,817.0,Tarjeta de crédito,Queso edam
2024-02-27,2024-02,Smith Noah,The House of Flavor,McAllister Alexander,Massachusetts,Lowell,Otros,Suero de leche,Botella 1L,2.0,979,1958.0,PayPal,Suero de leche
2024-04-14,2024-04,Lee Charlotte,The Food Barn,Tremblay Ana,Massachusetts,Worcester,Cremas,Crema agria,Tarrina 200g,2.5,801,2002.5,Tarjeta de débito,Crema agria
2024-07-22,2024-07,Lee Charlotte,Food Emporium,Iacoca William,Nueva York,Buffalo,Quesos,Queso gouda,Bloque 300g,4.5,722,3249.0,Efectivo,Queso gouda
2024-01-15,2024-01,Zeller Sophie,The Food Barn,Tremblay Ana,Texas,Houston,Otros,Suero de leche,Botella 1L,2.0,504,1008.0,PayPal,Suero de leche
2024-06-12,2024-06,Lee Charlotte,Culinary Treasures,Koch Emma,Florida,Orlando,Leche,Leche en polvo,Bolsa 400g,3.0,684,2052.0,PayPal,Leche en polvo
2024-12-28,2024-12,Zeller Sophie,Super Saber,Lee Lucas,Florida,Jacksonville,Quesos,Queso azul gorgonzola,Cuña 150g,6.0,46,276.0,PayPal,Queso azul gorgonzola
2024-06-17,2024-06,Smith Noah,The Family Grocer,Brown Margaret,California,San Jose,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,676,2704.0,Efectivo,Mantequilla con sal
2024-07-04,2024-07,Lee Charlotte,Sky Blue Market,Taylor Jacob,Texas,Houston,Quesos,Queso gouda,Bloque 300g,4.5,577,2596.5,Efectivo,Queso gouda
2024-01-04,2024-01,Jackson George,Pekos Foods,Dubbois Frank,Nueva York,Yonkers,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,61,244.0,Transferencia bancaria,Mantequilla con sal
2024-12-25,2024-12,Davis Olivia,The Grocery Store,McBride Evelyn,Massachusetts,Boston,Otros,Dulce de leche,Frasco 250g,3.0,855,2565.0,PayPal,Dulce de leche
2024-01-28,2024-01,Jackson George,Town Market,Gagnon James,Texas,Austin,Leche,Leche entera,Litro,1.25,191,238.75,Transferencia bancaria,Leche entera
2024-06-02,2024-06,Smith Noah,Culinary Treasures,Koch Emma,Massachusetts,Worcester,Otros,Suero de leche,Botella 1L,2.0,853,1706.0,Tarjeta de crédito,Suero de leche
2024-05-07,2024-05,Davis Olivia,Red Rose,Martinez Patricia,Massachusetts,Lowell,Cremas,Crema batida,Spray 250ml,3.75,409,1533.75,Tarjeta de crédito,Crema batida
2024-01-21,2024-01,Davis Olivia,The Grocery Store,McBride Evelyn,California,San Francisco,Quesos,Queso parmesano,Rallado 150g,4.8,324,1555.2,PayPal,Queso parmesano
2024-07-15,2024-07,Davis Olivia,Food Emporium,Iacoca William,California,Los Angeles,Leche,Leche condensada,Lata 397g,2.5,911,2277.5,Tarjeta de crédito,Leche condensada
2024-05-01,2024-05,Anderson James,Hyper Foods,Brightman Abigail,Nueva York,New York City,Leche,Bebidas lácteas,Botella 500ml,1.2,876,1051.2,Transferencia bancaria,Bebidas lácteas
2024-08-02,2024-08,Smith Noah,My Market,Johnson Alice,Nueva York,New York City,Yogur,Yogur griego,Individual,1.5,645,967.5,Transferencia bancaria,Yogur griego
2024-03-07,2024-03,Anderson James,Food Emporium,Iacoca William,Massachusetts,Springfield,Yogur,Kumis,Botella 1L,2.5,691,1727.5,Transferencia bancaria,Kumis
2024-07-18,2024-07,Smith Noah,Hyper Foods,Brightman Abigail,Massachusetts,Worcester,Yogur,Yogur natural,Individual,1.0,177,177.0,Efectivo,Yogur natural
2024-05-21,2024-05,Smith Noah,Central Supermarket,Smith Patricia,Texas,Austin,Cremas,Crema batida,Spray 250ml,3.75,781,2928.75,Efectivo,Crema batida
2024-08-14,2024-08,Anderson James,The Pantry,Wilson Ethan,Nueva York,Yonkers,Yogur,Kumis,Botella 1L,2.5,337,842.5,Tarjeta de crédito,Kumis
2024-08-01,2024-08,Zeller Sophie,The Pantry,Wilson Ethan,Texas,San Antonio,Leche,Leche condensada,Lata 397g,2.5,526,1315.0,Transferencia bancaria,Leche condensada
2024-12-22,2024-12,Anderson James,Central Supermarket,Smith Patricia,Nueva York,New York City,Leche,Bebidas lácteas,Botella 1L,2.0,853,1706.0,Tarjeta de débito,Bebidas lácteas
2024-09-28,2024-09,Lee Charlotte,Super Everything,Fraser Michael,Nueva York,New York City,Otros,Cuajada,Envase 250g,2.2,54,118.8,PayPal,Cuajada
2024-10-17,2024-10,Anderson James,The Food Barn,Tremblay Ana,California,Los Angeles,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,457,2627.75,Tarjeta de crédito,Mantequilla clarificada (ghee)
2024-11-01,2024-11,Zeller Sophie,Red Rose,Martinez Patricia,California,Los Angeles,Leche,Leche condensada,Lata 397g,2.5,313,782.5,Tarjeta de débito,Leche condensada
2024-03-20,2024-03,Zeller Sophie,The Pantry,Wilson Ethan,Texas,San Antonio,Quesos,Queso havarti,Bloque 200g,5.25,152,798.0,Tarjeta de crédito,Queso havarti
2024-09-27,2024-09,Anderson James,Town Market,Gagnon James,Massachusetts,Boston,Cremas,Queso crema,Tarrina 250g,2.8,285,798.0,Tarjeta de débito,Queso crema
2024-01-09,2024-01,Zeller Sophie,Hyper Foods,Brightman Abigail,Nueva York,New York City,Yogur,Yogur griego,Individual,1.5,507,760.5,Transferencia bancaria,Yogur griego
2024-07-20,2024-07,Smith Noah,Culinary Treasures,Koch Emma,Texas,Houston,Cremas,Queso crema,Tarrina 250g,2.8,425,1190.0,Efectivo,Queso crema
2024-03-13,2024-03,Smith Noah,Town Market,Gagnon James,Texas,San Antonio,Quesos,Queso azul gorgonzola,Cuña 150g,6.0,956,5736.0,Efectivo,Queso azul gorgonzola
2024-10-13,2024-10,Davis Olivia,The Little Bee,Hunter Mark,Texas,Houston,Otros,Suero de leche,Botella 1L,2.0,79,158.0,Transferencia bancaria,Suero de leche
2024-05-30,2024-05,Anderson James,The Grocery Store,McBride Evelyn,Florida,Orlando,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,247,1420.25,PayPal,Mantequilla clarificada (ghee)
2024-12-06,2024-12,Smith Noah,The Pantry,Wilson Ethan,Florida,Jacksonville,Yogur,Yogur con frutas,Individual,1.2,875,1050.0,Tarjeta de débito,Yogur con frutas
2024-02-19,2024-02,Zeller Sophie,Red Rose,Martinez Patricia,Nueva York,Rochester,Otros,Suero de leche,Botella 1L,2.0,884,1768.0,Tarjeta de débito,Suero de leche
2024-06-27,2024-06,Lee Charlotte,Culinary Treasures,Koch Emma,Florida,Jacksonville,Quesos,Queso camembert,Cuña 200g,6.0,377,2262.0,Tarjeta de crédito,Queso camembert
2024-10-15,2024-10,Davis Olivia,The Pantry,Wilson Ethan,Massachusetts,Boston,Quesos,Queso en lonchas,Paquete 200g,3.8,512,1945.6,Tarjeta de crédito,Queso en lonchas
2024-10-06,2024-10,Williams Chloe,Hyper Foods,Brightman Abigail,Texas,San Antonio,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,212,1219.0,Efectivo,Mantequilla clarificada (ghee)
2024-06-01,2024-06,Smith Noah,The Grocery Store,McBride Evelyn,Texas,Austin,Mantequilla,Mantequilla sin sal,Paquete 454g,4.2,718,3015.6,Efectivo,Mantequilla sin sal
2024-04-09,2024-04,Jackson George,The House of Flavor,McAllister Alexander,Massachusetts,Boston,Otros,Cuajada,Envase 250g,2.2,669,1471.8,Tarjeta de débito,Cuajada
2024-11-27,2024-11,Zeller Sophie,Central Supermarket,Smith Patricia,Nueva York,New York City,Quesos,Queso azul gorgonzola,Cuña 150g,6.0,387,2322.0,Efectivo,Queso azul gorgonzola
2024-12-06,2024-12,Zeller Sophie,The Grocery Store,McBride Evelyn,California,Los Angeles,Quesos,Queso cheddar añejo,Bloque 300g,5.0,909,4545.0,Efectivo,Queso cheddar añejo
2024-10-01,2024-10,Davis Olivia,Town Market,Gagnon James,Nueva York,Buffalo,Leche,Leche descremada,Litro,1.15,456,524.4,Efectivo,Leche descremada
2024-06-21,2024-06,Williams Chloe,Corner Delicatessen,Clark Eleonor,California,San Jose,Yogur,Yogur con frutas,Individual,1.2,996,1195.2,Tarjeta de crédito,Yogur con frutas
2024-09-20,2024-09,Jackson George,The Pantry,Wilson Ethan,Massachusetts,Boston,Otros,Suero de leche,Botella 1L,2.0,471,942.0,Transferencia bancaria,Suero de leche
2024-04-14,2024-04,Williams Chloe,Culinary Treasures,Koch Emma,Nueva York,New York City,Leche,Leche evaporada,Lata 354ml,2.3,951,2187.3,Tarjeta de crédito,Leche evaporada
2024-12-13,2024-12,Jackson George,Exquisite Foods Market,Rogers Harper,Nueva York,Yonkers,Yogur,Yogur con frutas,Individual,1.2,534,640.8,PayPal,Yogur con frutas
2024-11-09,2024-11,Jackson George,Hyper Foods,Brightman Abigail,California,San Jose,Otros,Dulce de leche,Frasco 250g,3.0,461,1383.0,Efectivo,Dulce de leche
2024-12-24,2024-12,Zeller Sophie,Select Market,Bélanger Theodore,Nueva York,Yonkers,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,358,2058.5,Efectivo,Mantequilla clarificada (ghee)
2024-10-25,2024-10,Smith Noah,The Pantry,Wilson Ethan,California,San Francisco,Yogur,Yogur griego,Individual,1.5,700,1050.0,Efectivo,Yogur griego
2024-11-23,2024-11,Jackson George,My Market,Johnson Alice,Florida,Miami,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,606,3484.5,Tarjeta de débito,Mantequilla clarificada (ghee)
2024-11-07,2024-11,Jackson George,Super Everything,Fraser Michael,Nueva York,New York City,Leche,Leche saborizada,Botella 500 ml,1.5,282,423.0,Tarjeta de crédito,Leche saborizada
2024-12-22,2024-12,Lee Charlotte,The House of Flavor,McAllister Alexander,California,San Jose,Otros,Suero de leche,Botella 1L,2.0,646,1292.0,Tarjeta de crédito,Suero de leche
2024-07-03,2024-07,Smith Noah,Sky Blue Market,Taylor Jacob,Massachusetts,Boston,Cremas,Crema batida,Spray 250ml,3.75,235,881.25,Tarjeta de crédito,Crema batida
2024-02-29,2024-02,Davis Olivia,Corner Delicatessen,Clark Eleonor,Massachusetts,Boston,Quesos,Queso edam,Bloque 300g,4.75,710,3372.5,Tarjeta de crédito,Queso edam
2024-07-03,2024-07,Zeller Sophie,Sky Blue Market,Taylor Jacob,Texas,Houston,Leche,Leche en polvo,Bolsa 400g,3.0,839,2517.0,Tarjeta de débito,Leche en polvo
2024-08-23,2024-08,Anderson James,My Market,Johnson Alice,Texas,San Antonio,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,716,2864.0,Tarjeta de crédito,Mantequilla con sal
2024-11-20,2024-11,Jackson George,Food Emporium,Iacoca William,California,San Diego,Yogur,Yogur con frutas,Individual,1.2,244,292.8,Tarjeta de débito,Yogur con frutas
2024-09-26,2024-09,Lee Charlotte,Select Market,Bélanger Theodore,California,San Jose,Leche,Bebidas lácteas,Botella 500ml,1.2,437,524.4,Tarjeta de débito,Bebidas lácteas
2024-11-25,2024-11,Anderson James,Hyper Foods,Brightman Abigail,Massachusetts,Springfield,Yogur,Yogur con frutas,Individual,1.2,846,1015.2,Efectivo,Yogur con frutas
2024-03-23,2024-03,Williams Chloe,Hyper Foods,Brightman Abigail,Florida,Miami,Leche,Leche en polvo,Bolsa 400g,3.0,772,2316.0,Tarjeta de crédito,Leche en polvo
2024-05-31,2024-05,Lee Charlotte,My Market,Johnson Alice,Florida,Orlando,Otros,Dulce de leche,Frasco 250g,3.0,685,2055.0,PayPal,Dulce de leche
2024-10-22,2024-10,Zeller Sophie,The House of Flavor,McAllister Alexander,Florida,Miami,Mantequilla,Mantequilla sin sal,Paquete 454g,4.2,688,2889.6,Efectivo,Mantequilla sin sal
2024-03-20,2024-03,Anderson James,Exquisite Foods Market,Rogers Harper,Texas,Houston,Leche,Leche entera,Litro,1.25,271,338.75,Efectivo,Leche entera
2024-06-04,2024-06,Jackson George,The Pantry,Wilson Ethan,Texas,Dallas,Yogur,Yogur griego,Individual,1.5,571,856.5,Tarjeta de crédito,Yogur griego
2024-12-09,2024-12,Jackson George,Select Market,Bélanger Theodore,California,Los Angeles,Otros,Dulce de leche,Frasco 250g,3.0,183,549.0,Tarjeta de débito,Dulce de leche
2024-07-17,2024-07,Davis Olivia,The House of Flavor,McAllister Alexander,Texas,Austin,Yogur,Yogur griego,Individual,1.5,282,423.0,Efectivo,Yogur griego
2024-10-28,2024-10,Williams Chloe,Food Emporium,Iacoca William,California,San Francisco,Yogur,Yogur con frutas,Individual,1.2,948,1137.6,PayPal,Yogur con frutas
2024-03-17,2024-03,Davis Olivia,Food Emporium,Iacoca William,California,San Diego,Cremas,Crema de leche,Cartón 946ml,5.99,296,1773.04,Transferencia bancaria,Crema de leche
2024-11-27,2024-11,Zeller Sophie,Exquisite Foods Market,Rogers Harper,Florida,Miami,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,71,284.0,Tarjeta de débito,Mantequilla con sal
2024-09-03,2024-09,Lee Charlotte,Red Rose,Martinez Patricia,Texas,Austin,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,58,333.5,Transferencia bancaria,Mantequilla clarificada (ghee)
2024-04-28,2024-04,Williams Chloe,The Pantry,Wilson Ethan,Massachusetts,Lowell,Cremas,Queso crema,Tarrina 250g,2.8,415,1162.0,Efectivo,Queso crema
2024-05-16,2024-05,Anderson James,Corner Delicatessen,Clark Eleonor,Florida,Miami,Quesos,Queso havarti,Bloque 200g,5.25,72,378.0,Tarjeta de crédito,Queso havarti
2024-08-01,2024-08,Jackson George,The Pantry,Wilson Ethan,California,San Diego,Yogur,Yogur griego,Individual,1.5,714,1071.0,PayPal,Yogur griego
2024-06-29,2024-06,Anderson James,Super Saber,Lee Lucas,California,Los Angeles,Otros,Dulce de leche,Frasco 250g,3.0,180,540.0,Tarjeta de crédito,Dulce de leche
2024-11-14,2024-11,Williams Chloe,My Market,Johnson Alice,Nueva York,Yonkers,Yogur,Yogur con frutas,Individual,1.2,111,133.2,Efectivo,Yogur con frutas
2024-02-07,2024-02,Jackson George,The Little Bee,Hunter Mark,Florida,Miami,Leche,Leche en polvo,Bolsa 800g,5.5,95,522.5,Tarjeta de débito,Leche en polvo
2024-01-03,2024-01,Williams Chloe,Food Emporium,Iacoca William,California,San Francisco,Quesos,Queso blanco,Bloque 500g,5.0,142,710.0,PayPal,Queso blanco
2024-06-08,2024-06,Zeller Sophie,The Grocery Store,McBride Evelyn,Nueva York,New York City,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,926,3704.0,Transferencia bancaria,Mantequilla con sal
2024-12-29,2024-12,Zeller Sophie,Select Market,Bélanger Theodore,Texas,San Antonio,Cremas,Crema agria,Tarrina 200g,2.5,591,1477.5,Transferencia bancaria,Crema agria
2024-08-23,2024-08,Lee Charlotte,The Grocery Store,McBride Evelyn,Texas,Dallas,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,742,4266.5,Tarjeta de crédito,Mantequilla clarificada (ghee)
2024-05-04,2024-05,Williams Chloe,Corner Delicatessen,Clark Eleonor,California,Los Angeles,Quesos,Queso edam,Bloque 300g,4.75,31,147.25,Efectivo,Queso edam
2024-10-15,2024-10,Williams Chloe,The House of Flavor,McAllister Alexander,Nueva York,Rochester,Leche,Leche semidescremada,Litro,1.2,274,328.8,Transferencia bancaria,Leche semidescremada
2024-04-30,2024-04,Smith Noah,Corner Delicatessen,Clark Eleonor,Massachusetts,Worcester,Cremas,Queso crema,Tarrina 250g,2.8,549,1537.2,Transferencia bancaria,Queso crema
2024-10-19,2024-10,Jackson George,The Little Bee,Hunter Mark,Florida,Miami,Leche,Leche semidescremada,Litro,1.2,94,112.8,Tarjeta de débito,Leche semidescremada
2024-04-22,2024-04,Smith Noah,Red Rose,Martinez Patricia,Nueva York,New York City,Yogur,Yogur natural,Familiar 1L,3.5,504,1764.0,Tarjeta de crédito,Yogur natural
